D_LatestNetvalue,,,
Code,Tdate,Netvalue,SumNetvalue
502053,2017-11-27,0.966,0.997
502024,2017-11-27,1.011,1.108
502025,2017-11-27,1.079,1.079
502023,2017-11-27,1.045,1.094
502027,2017-11-27,1.011,1.108
502028,2017-11-27,0.545,0.545
502026,2017-11-27,0.778,0.827
502017,2017-11-27,1.043,1.104
502018,2017-11-27,1.097,1.097
502016,2017-11-27,1.07,1.101
161227,2017-11-27,1.046,1.979
169101,2017-11-27,1.425,2.327
169102,2017-11-27,1.642,2.025
169103,2017-11-27,1.578,1.62
169104,2017-11-27,1.497,1.526
169105,2017-11-27,1.5891,1.5891
159920,2017-11-27,1.5894,1.5894
510500,2017-11-27,6.5246,1.829
510660,2017-11-27,1.8313,1.8313
184801,2017-11-24,102.651,1.12
501021,2017-11-27,1.3903,1.3903
501029,2017-11-27,1.0837,1.0837
513030,2017-11-24,1.162,1.162
501001,2017-11-27,1.072,1.072
501015,2017-11-27,0.93,0.93
501017,2017-11-27,0.9431,0.9431
160518,2017-11-27,0.954,0.954
160519,2017-11-27,0.99,0.99
161225,2017-11-27,1.202,1.223
161232,2017-11-27,0.849,0.849
161834,2017-11-27,0.942,0.942
165528,2017-11-27,1.011,1.011
167001,2017-11-27,0.852,0.852
168101,2017-11-27,1.161,1.351
168102,2017-11-27,1.024,1.024
168103,2017-11-27,0.979,0.979
161727,2017-11-27,1.022,1.022
501022,2017-11-27,0.919,0.919
160642,2017-11-27,1.0112,1.0112
160522,2017-11-27,0.987,0.987
160722,2017-11-27,1.0463,1.0463
168104,2017-11-27,1.0189,1.0189
501026,2017-11-27,0.9214,0.9214
160421,2017-11-27,0.9343,0.9343
167002,2017-11-27,0.9572,0.9572
